Nr Komisji Okręgowej[1-51];Kod Komisji Obwodowej;Numer obwodu;Typ Obwodu;Nazwa lokalu;Adres lokalu;Uprawnionych do głosowania
10;106101-250;250;P;Publiczne Gimnazjum nr 20 im. Hugona Kołłątaja;ul. Olimpijska 9, 94-043 Łódź;1639
10;106101-251;251;P;Publiczne Gimnazjum nr 20 im. Hugona Kołłątaja;ul. Olimpijska 9, 94-043 Łódź;1488
10;106101-252;252;P;Szkoła Podstawowa nr 41 im. Króla Władysława Jagiełły;ul. Rajdowa 18, 94-003 Łódź;1738
10;106101-253;253;P;Szkoła Podstawowa nr 41 im. Króla Władysława Jagiełły;ul. Rajdowa 18, 94-003 Łódź;1061
10;106101-254;254;P;Szkoła Podstawowa nr 41 im. Króla Władysława Jagiełły;ul. Rajdowa 18, 94-003 Łódź;1310
10;106101-255;255;P;Szkoła Podstawowa nr 11 im. Marii Kownackiej;ul. Hufcowa 20A, 94-107 Łódź;1621
10;106101-256;256;P;Przedszkole Miejskie nr 165;ul. Hufcowa 14, 94-107 Łódź;1973
10;106101-257;257;P;Łódzkie Stowarzyszenie Oświatowe;ul. Babickiego 15, 94-056 Łódź;1007
10;106101-258;258;P;Łódzkie Stowarzyszenie Oświatowe;ul. Babickiego 15, 94-056 Łódź;941
10;106101-259;259;P;Szkoła Podstawowa nr 11 im. Marii Kownackiej;ul. Hufcowa 20A, 94-107 Łódź;1949
10;106101-260;260;P;Miejski Zespół Żłobków w Łodzi Żłobek Nr 21;ul. Marusarzówny 9, 94-041 Łódź;1400
10;106101-261;261;P;Przedszkole Miejskie nr 214;ul. Batalionów Chłopskich 21, 94-058 Łódź;1606
10;106101-262;262;P;Przedszkole Miejskie nr 214;ul. Batalionów Chłopskich 21, 94-058 Łódź;2196
10;106101-263;263;P;Szkoła Podstawowa nr 137 im. prof. Aleksandra Kamińskiego;ul. Florecistów 3b, 94-042 Łódź;1674
10;106101-264;264;P;Szkoła Podstawowa nr 137 im. prof. Aleksandra Kamińskiego;ul. Florecist 3b, 94-042 Łódź;1640
10;106101-265;265;P;KME Sp. z o.o.;ul. Obywatelska 128, 94-104 Łódź;1300
10;106101-266;266;P;"Spółdzielnia Mieszkaniowa ""Pienista""";ul. Kubusia Puchatka 9, 94-119 Łódź;1748
10;106101-267;267;P;Grupowa Oczyszczalnia Ścieków w Łodzi Sp. z o.o.;ul. Sanitariuszek 70/72, 93-469 Łódź;606
10;106101-268;268;P;Szkoła Podstawowa nr 169 im. Marii Dąbrowskiej;ul. Napoleońska 7/17, 94-231 Łódź;1456
10;106101-269;269;P;Szkoła Podstawowa nr 169 im. Marii Dąbrowskiej;ul. Napoleońska 7/17, 94-231 Łódź;1043
10;106101-270;270;P;Szkoła Podstawowa nr 169 im. Marii Dąbrowskiej;ul. Napoleońska 7/17, 94-231 Łódź;1556
10;106101-271;271;P;"Real Property Sp. z o.o. (obiekt ""VERA"")";ul. Siewna 15, 94-250 Łódź;1916
10;106101-272;272;P;Zespół Szkół Społecznego Towarzystwa Oświatowego w Łodzi;ul. Czerwona 8, 93-005 Łódź;1585
10;106101-273;273;P;Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera I Dom Studenta;ul. Piotrkowska 189/191, 90-447 Łódź;1575
10;106101-274;274;P;Miejska Biblioteka Publiczna Łódź-Śródmieście im. Andrzeja Struga Filia Nr 9 dla Dorosłych;ul. Brzeźna 10, 90-303 Łódź;1912
10;106101-275;275;P;Szkoła Podstawowa nr 2 im. ks. Jana Twardowskiego;ul. Sienkiewicza 137/139, 90-302 Łódź;1369
10;106101-276;276;P;Szkoła Podstawowa nr 14 im. Józefa Lompy;ul. Wigury 8/10, 90-301 Łódź;1547
10;106101-277;277;P;Lokal Rady Osiedla Katedralna;ul. Żwirki 3, 90-448 Łódź;1135
10;106101-278;278;P;Publiczne Gimnazjum nr 5 im. Króla Władysława Jagiełły;ul. Sienkiewicza 117, 90-301 Łódź;874
10;106101-279;279;P;Przedszkole Miejskie nr 5; al. Kościuszki 54, 90-428 Łódź;1769
10;106101-280;280;P;III Liceum Ogólnokształcące im. Tadeusza Kościuszki;ul. Sienkiewicza 46, 90-009 Łódź;1333
10;106101-281;281;P;III Liceum Ogólnokształcące im. Tadeusza Kościuszki;ul. Sienkiewicza 46, 90-009 Łódź;1525
10;106101-282;282;P;Administracja Zasobów Komunalnych Łódź-Śródmieście Rejon Obsługi Najemców II;ul. Dowborczyków 5, 90-019 Łódź;1397
10;106101-283;283;P;Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi;ul. Kilińskiego 79, 90-119 Łódź;428
10;106101-284;284;P;Uniwersytet Medyczny w Łodzi;al. Kościuszki 4, 90-419 Łódź;905
