Nr Komisji Okręgowej[1-51];Kod Komisji Obwodowej;Numer obwodu;Typ Obwodu;Nazwa lokalu;Adres lokalu;Uprawnionych do głosowania
10;106101-405;405;L;Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny im;pl. Hallera 1, 90-647 Łódź;168
10;106101-406;406;L;Wojewódzki Specjalistyczny Szpital im. M. Pirogowa w Łodzi;ul. Wólczańska 191/195, 90-531 Łódź;256
10;106101-407;407;L;Wojewódzki Specjalistyczny Szpital im. M. Pirogowa w Łodzi Ośrodek Szpitalny im. M. Madurowicza;ul. Wileńska 37, 94-029 Łódź;277
10;106101-408;408;Z;2 Dom Pomocy Społecznej w Łodzi;ul. 28 Pułku Strzelców Kaniowskich 32, 90-640 Łódź;100
10;106101-409;409;Z;"Dom Pomocy Społecznej ""Włókniarz"" im. Jana Pawła II w Łodzi";ul. Krzemieniecka 7/9, 94-017 Łódź;115
10;106101-410;410;D;Politechnika Łódzka Obiekt C 15;al. Politechniki 3a, 93-590 Łódź;2888
10;106101-411;411;L;Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny im;ul. Sterlinga 1/3, 91-425 Łódź;163
10;106101-412;412;L;Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny nr 1 im;ul. Kopcińskiego 22, 90-153 Łódź;343
10;106101-413;413;L;II Szpital Miejski im. dr. L. Rydygiera w Łodzi;ul. Sterlinga 13, 90-217 Łódź;50
10;106101-414;414;Z;Dom Pomocy Społecznej w Łodzi;ul. Narutowicza 114, 90-145 Łódź;83
10;106101-415;415;D;Uniwersytet Łódzki II Dom Studenta;ul. Lumumby 18/20, 91-404 Łódź;2903
10;106101-416;416;L;Centrum Rehabilitacyjno-Opiekuńcze -Dom Pomocy Społecznej w Łodzi;ul. Przybyszewskiego 255/267, 92-314 Łódź;596
10;106101-417;417;L;Samodzielny Publiczny Zakład Opieki Zdrowotnej Centralny Szpital Kliniczny Instytut Stomatologii ;ul. Pomorska 21, 90-202 Łódź;186
10;106101-418;418;L;Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny im. Wojskowej ;ul. Pieniny 30, 92-003 Łódź;128
10;106101-419;419;L;II Szpital Miejski im. dr. K. Jonschera w Łodzi;ul. Milionowa 14, 93-102 Łódź;337
10;106101-420;420;K;Zakład Karny Nr 1 w Łodzi;ul. Beskidzka 54, 91-611 Łódź;558
10;106101-421;421;L;Centrum Kliniczno-Dydaktyczne Uniwersytetu Medycznego w Łodzi;Pomorska 251, 92-213 Łódź;50
